UniqueCarrier,Month,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
DL,8,16.7184321508,1.62900024808,20.909823865,0.0126519474076,16.8573554949
DL,9,13.1233828925,0.82332496621,18.2946514771,0.0357211816953,10.3566325545
DL,10,12.2849391406,0.994427335386,17.9433934595,0.0,14.7506965831
DL,11,10.5823037564,0.704480219643,19.8673405716,0.00686384624984,14.9965056783
DL,12,13.1171163575,1.95278246206,18.4803541315,0.00539629005059,16.8897976391
EV,1,33.1267808837,4.06744815149,10.1875563571,0.0431018935978,5.59386834986
EV,2,30.2136120717,13.1295190192,14.0003143666,0.055957246149,3.92439484439
EV,3,29.8629537834,13.6722554308,16.2315206298,0.0473830004374,4.54964280507
EV,4,27.1645716496,13.7337072133,17.646876813,0.104621929994,3.64088184104
EV,5,27.314083356,4.59547807137,12.8736039226,0.045219286298,3.04603650232
EV,6,26.1865218192,7.93187258332,19.1695820291,0.0635242128521,3.38685324986
EV,7,23.9211878926,19.928469446,32.546402056,0.0305539691605,3.01242147344
EV,8,35.2227089539,7.54073944279,18.5773611354,0.100227790433,3.88172419835
EV,9,31.7098461538,2.98092307692,9.33661538462,0.0153846153846,6.69538461538
EV,10,15.4195360195,1.54236874237,15.7045177045,0.0920634920635,22.1362637363
EV,11,14.1575468234,1.75651854572,17.2752478884,0.012853470437,26.6672787367
EV,12,14.1465635525,3.27591368342,13.1852313833,0.0379194212299,27.0276911563
F9,1,14.2525083612,0.439241917503,15.3428093645,0.0,8.29152731327
F9,2,15.0393974508,0.925260718424,15.9652375435,0.143105446118,8.62630359212
F9,3,10.8929088278,0.600096478534,17.3289917993,0.0665701881331,9.25084418717
F9,4,12.3984263233,0.245350500715,16.2582260372,0.0,8.57439198856
F9,5,9.80089820359,0.561377245509,19.49750499,0.0,9.37774451098
F9,6,10.6758367721,0.795965153599,17.2760201742,0.0,8.63319578175
F9,7,11.7061946903,1.70796460177,18.6560471976,0.00353982300885,9.88554572271
F9,8,14.3027888446,2.65073041169,17.8492695883,0.0,8.4229747676
F9,9,13.0294599018,0.82651391162,14.4828150573,0.0,3.84615384615
F9,10,15.1741293532,1.79353233831,14.1119402985,0.0,8.70024875622
F9,11,15.3026315789,0.29298245614,20.3964912281,0.0,12.6307017544
F9,12,13.3583096591,1.90660511364,22.69140625,0.0,12.6590909091
FL,1,7.29383886256,0.919668246445,17.7834123223,0.0,22.1545023697
FL,2,7.01857764877,0.816545718433,16.3330914369,0.0,30.3005805515
FL,3,7.83083608031,0.48501648187,15.7326940366,0.0,34.3825292179
FL,4,7.05969424897,0.211356466877,16.8968696918,0.0,26.4239262315
FL,5,8.05736750146,0.334304018637,16.9534071054,0.0,24.1939429237
FL,6,7.30186005314,1.15783879539,19.9461470328,0.0,31.7470327724
FL,7,9.72611367127,1.36205837174,23.5216589862,0.0,49.6958525346
FL,8,8.95302843016,0.597033374536,18.7064276885,0.0,34.0725175113
FL,9,7.31885488648,0.267522211254,17.5567620928,0.0,15.3499506417
FL,10,6.95408661674,0.128622598502,16.2946922826,0.0,24.3015304461
FL,11,5.73435897436,0.15358974359,18.4953846154,0.0,26.451025641
FL,12,7.44952873214,0.350106415324,14.4665551839,0.0,25.9578899362
HA,1,31.4745762712,1.53389830508,0.0,0.0762711864407,12.2372881356
HA,2,32.2152777778,0.229166666667,0.0590277777778,0.00694444444444,11.2256944444
HA,3,42.9589041096,0.0593607305936,0.0456621004566,0.0,11.0776255708
HA,4,31.6806930693,0.0,0.0767326732673,0.0420792079208,13.2846534653
HA,5,41.4880952381,0.0456349206349,0.103174603175,0.0734126984127,17.0138888889
HA,6,31.7055837563,0.0,0.0482233502538,0.0228426395939,12.3350253807
HA,7,27.2351421189,0.0,0.302325581395,0.0284237726098,19.4909560724
HA,8,35.9557291667,0.015625,0.208333333333,0.0416666666667,9.81770833333
HA,9,41.0436681223,0.0,0.100436681223,0.0,7.94759825328
HA,10,31.1560693642,0.514450867052,0.6204238921,0.140655105973,12.6204238921
HA,11,33.4213483146,0.153558052434,0.061797752809,0.00561797752809,12.1554307116
HA,12,31.0117753623,3.66123188406,0.0996376811594,0.0054347826087,19.1983695652
MQ,1,13.951863354,4.34905197777,19.5553285387,0.00858123569794,25.1959790781
MQ,2,14.4589866835,3.92845323458,17.0114254196,0.00457016783547,25.3091954929
MQ,3,14.9029353191,4.67165988397,15.903368257,0.00761970733397,24.3059139319
MQ,4,15.9398675223,2.16176774995,15.9592216932,0.00196646657007,21.2490167667
MQ,5,14.8139302377,3.49688958009,16.6085314375,0.0204399022439,21.5983114863
MQ,6,13.4658299533,3.77316905181,18.9725262111,0.00512742021887,23.702686156
MQ,7,15.1500549835,1.94371688493,17.9349195241,0.0235929221234,21.3909827052
MQ,8,15.5699030318,2.81551491347,15.9279489383,0.00355959248803,20.3469988953
MQ,9,16.8840629867,1.64976639557,16.1576397301,0.00813289496453,18.3074926458
MQ,10,17.939361243,1.53668536901,13.4643936124,0.00107898144152,16.0597755719
MQ,11,14.924359969,2.19608223429,15.4072924748,0.0279286268425,18.2854926299
MQ,12,15.2878426698,7.50178784267,18.1907032181,0.0161757193938,28.1092286736
NW,1,16.3849896606,2.8783602968,17.1385476219,0.0804038438146,9.40834448364
NW,2,17.3501126972,3.08060534507,18.6895996565,0.0594611999571,11.4199849737
NW,3,19.6571994716,2.75275209159,18.0077058565,0.050858652576,12.2377807133
NW,4,21.3633583542,3.45718654434,15.4270225188,0.0119544064498,9.5664442591
NW,5,18.946638207,3.42948620216,15.5200487879,0.101692331148,8.94465619759
NW,6,19.4301152003,5.99918442247,16.9455601998,0.0427158731777,13.973901519
NW,7,19.6973476476,4.62646037259,14.8909062204,0.0440479949479,11.2256078308
NW,8,23.4464544139,3.4158224795,13.8051133623,0.045827303425,10.008683068
NW,9,24.8896,5.8196,12.2136,0.2792,7.8916
NW,10,22.1603053435,2.82723985536,13.0445962234,0.0441944556047,6.79630373644
NW,11,19.2587592414,4.16586306654,15.8489231758,0.0324654451945,7.40694310511
NW,12,16.0294535131,5.61781405252,21.2448545067,0.0341850011829,14.9066713982
OH,1,19.9305135952,9.57833405265,16.2024169184,0.00323694432456,2.47561501942
OH,2,19.3060368411,12.4670800657,18.8121466351,0.0062009848623,2.80302753967
OH,3,23.8652802893,11.9323688969,17.0433996383,0.00506329113924,4.1122965642
OH,4,19.1715065773,9.99900719782,18.7346736163,0.0223380491437,4.46115661454
OH,5,16.7535231521,11.5084843256,20.2277825712,0.0428530342249,2.95513373598
OH,6,20.2583629893,16.0523131673,22.925088968,0.0229537366548,2.5731316726
OH,7,21.9986336465,13.9779675491,25.2403074295,0.0334756618275,3.32263023057
OH,8,19.2347772783,15.1751123825,25.1319983653,0.0574172456069,4.00531262771
OH,9,17.8969735995,12.5447520927,21.9124275596,0.0,2.19800386349
OH,10,19.4817708333,7.44114583333,17.1692708333,0.00677083333333,2.63958333333
OH,11,16.6936838262,11.5005476451,22.2055494706,0.0474625775831,1.47681635633
OH,12,25.6485610825,15.7697732037,21.269296741,0.0413569658853,3.14541642844
OO,1,19.2179595278,5.7309584036,17.2866076447,0.145727937043,26.0997048904
OO,2,17.5009152937,3.46563488101,13.06074222,0.145781328008,24.7737560326
OO,3,19.6365467916,3.55454820187,12.9014808099,0.26735166717,17.8845572681
OO,4,15.2953508272,2.01112378779,18.4848830576,0.0593268682259,14.608243012
OO,5,14.3024638912,1.45695270462,19.4661568961,0.125318606627,16.5195412065
OO,6,15.6949358132,2.37764075609,23.874355605,0.114929748307,17.60861215
OO,7,18.3893550707,2.54279549269,19.8227043874,0.0825941021338,18.4627187725
OO,8,17.4701649175,2.90659670165,15.7509745127,0.0998500749625,16.6476761619
OO,9,17.2335993771,1.40918824216,19.9892933619,0.133151644929,16.69125949
OO,10,10.5761745626,1.11421269904,14.7711814429,0.0695891488107,21.6174562611
OO,11,9.33106657122,1.12723693629,17.9720830351,0.0518969219757,26.2956335004
OO,12,12.013798417,2.80780275968,17.2913076977,0.0480493100791,35.5882188135
UA,1,15.9514676192,2.0760987731,18.905963659,0.0,29.3337474763
UA,2,14.2530013339,2.44357492219,18.85042241,0.00800355713651,27.8066696309
UA,3,13.9608741292,1.20736711518,16.5712377135,0.0955243820975,27.2580398893
UA,4,14.1820779751,1.14258011839,16.2700551133,0.0,26.0627679118
UA,5,12.5701539367,1.09863712129,16.5588783214,0.0,25.8806745759
UA,6,14.5193679579,1.52023468231,19.8681245416,0.0,30.6929128609
UA,7,15.3684796574,2.03888650964,16.8344325482,0.00993576017131,30.5454389722
UA,8,16.2930601587,2.15195339962,14.6731947374,0.0243045093904,32.274580697
UA,9,14.1889919416,1.93203588262,16.8769955907,0.0,20.9984795499
UA,10,16.3711159737,1.1249452954,13.9520787746,0.0240700218818,21.8969365427
UA,11,17.3342850345,0.928384487271,19.5303354747,0.0178443968594,22.6359743041
UA,12,14.8094184576,3.69605983987,20.25674252,0.00284450063211,28.0537294564
US,1,12.2920474696,0.848315373073,16.660755695,0.107215932342,16.1298595008
US,2,12.430713026,1.06248425296,19.2105064248,0.168052406148,19.8837238599
US,3,14.299311623,0.658459094519,15.9005824729,0.179375165475,17.5906804342
US,4,14.077351392,0.696012039127,17.5336343115,0.134687735139,15.3136192626
US,5,13.266833751,0.767752715121,18.8140350877,0.136173767753,16.1525480368
US,6,13.326241992,2.32249486281,21.3285386196,0.118095007857,18.8580925904
US,7,15.2973007548,2.60905718306,20.6002302674,0.159779966739,19.9607266215
US,8,15.1153553493,2.04063308477,18.8621214427,0.130725916908,17.5560797443
US,9,12.933410094,0.829207445788,19.1757819996,0.0794473229706,11.5856841297
US,10,13.8235294118,0.188696655133,16.860438293,0.159400230681,8.99215686275
US,11,10.4707460184,0.30410729254,20.9297569153,0.0608549874267,13.0866722548
US,12,12.9625053717,1.40148259562,19.8509883971,0.124838848303,17.6629780834
WN,1,9.65190811412,1.97211930345,7.98036309744,0.179371989626,29.4708688403
WN,2,9.52085260237,2.94181451274,8.06209535021,0.148112334987,34.6981417641
WN,3,9.62379318599,1.22205377803,6.54376446182,0.130814649326,27.3243437325
WN,4,10.0547607301,1.45097434632,7.06740256537,0.0978663048841,25.5151085348
WN,5,8.69916784425,1.40827968807,8.12204951065,0.10111477469,27.2485476527
WN,6,9.41742706593,3.19461937197,8.53801996316,0.0690571049137,31.756800754
WN,7,11.240896861,3.87665171898,8.61662182362,0.170104633782,30.8686397608
WN,8,10.1074052015,2.97763218847,7.91238170869,0.0784196942625,27.5865263715
WN,9,10.8984365676,1.82969328082,7.14512471655,0.0735171261487,22.3629311374
WN,10,11.9313387424,1.23275862069,4.93377281947,0.111257606491,20.9496957404
WN,11,10.5006184838,1.48595158155,10.1968545679,0.0613182541085,29.4963774518
WN,12,12.5544199084,3.01948451494,7.99008682573,0.122308060436,38.5569152936
XE,1,12.0968506603,1.76983858223,19.3855965685,0.204876396885,22.0337509877
XE,2,12.6235254466,2.80867318279,21.5299404561,0.119761824514,22.0722390743
XE,3,16.7214257268,2.88570290721,21.9458383114,0.23675826364,26.4339904421
XE,4,12.1650967413,1.72314154786,20.0161659878,0.144857433809,21.1868635438
XE,5,12.0926660694,1.46141046973,22.9840010239,0.12747984129,21.6365032638
XE,6,14.9070047099,3.01773724822,25.3514380198,0.263553462271,25.1934061529
XE,7,14.7954629062,1.578908645,21.8470876763,0.133782955242,23.7823421214
XE,8,18.0197159958,2.26792629973,23.0790986973,0.0672456284474,23.7535500528
XE,9,15.2729419703,3.9173414305,23.4645748988,0.0334008097166,18.3609986505
XE,10,10.6447811448,3.31024531025,29.5367965368,0.0798460798461,15.5906685907
XE,11,10.1309287134,1.01249644987,35.8383981823,0.0741266685601,14.2840102244
XE,12,12.9810179978,8.66324521935,29.2367829021,0.111642294713,21.4604893138
YV,1,34.1037649219,3.5476584022,16.3432506887,0.0462809917355,16.7327823691
YV,2,34.2848240469,3.42998533724,16.0681818182,0.0894428152493,22.1244501466
YV,3,32.1511305953,1.91324411629,12.737886479,0.22565759114,16.0226119059
YV,4,31.4709638795,1.38814607863,11.8193973259,0.194571941728,18.0275394133
YV,5,30.5101021073,2.17901368673,13.1620682164,0.100803823593,11.5883119705
YV,6,36.1577612177,3.20865704772,17.5777707309,0.140795941018,13.7739020136
YV,7,33.2207684664,3.04736667771,14.9019542895,0.120735342829,10.3673401789
YV,8,33.5067681895,3.98900169205,12.1649746193,0.222715736041,9.13282571912
YV,9,30.6121014311,1.83580215918,15.0846095908,0.256590509666,13.3412001004
YV,10,29.9140355532,1.98195807907,11.230830459,0.284956221809,8.33669408331
YV,11,26.3144407597,3.39131745553,15.0072354537,0.114561350618,9.80283388604
YV,12,33.8515992856,6.54716674785,18.1847702549,0.132976132489,14.8313037831
